
> pump-fud-indexer@1.0.0 indexer
> ts-node src/indexer.ts

═══════════════════════════════════════
🔥 PUMP.FUD Indexer Starting
📍 Factory: 0x7e65383639d8418e826a78a2f5c784cd4bdb92d7
🌐 RPC: https://rpc.pulsechain.com
═══════════════════════════════════════
✅ Database initialized
📋 Loaded 0 active tokens
📊 Starting from block 25500000
📦 Processing blocks 25500000 to 25500999
📦 Processing blocks 25501000 to 25501999
📦 Processing blocks 25502000 to 25502999
📦 Processing blocks 25503000 to 25503999
📦 Processing blocks 25504000 to 25504999
📦 Processing blocks 25505000 to 25505999
📦 Processing blocks 25506000 to 25506999
📦 Processing blocks 25507000 to 25507999
📦 Processing blocks 25508000 to 25508999
📦 Processing blocks 25509000 to 25509999
📦 Processing blocks 25510000 to 25510999
📦 Processing blocks 25511000 to 25511999
📦 Processing blocks 25512000 to 25512999
📦 Processing blocks 25513000 to 25513999
📦 Processing blocks 25514000 to 25514999
📦 Processing blocks 25515000 to 25515999
📦 Processing blocks 25516000 to 25516999
📦 Processing blocks 25517000 to 25517999
📦 Processing blocks 25518000 to 25518999
📦 Processing blocks 25519000 to 25519999
📦 Processing blocks 25520000 to 25520999
📦 Processing blocks 25521000 to 25521999
📦 Processing blocks 25522000 to 25522999
📦 Processing blocks 25523000 to 25523999
📦 Processing blocks 25524000 to 25524999
📦 Processing blocks 25525000 to 25525999
📦 Processing blocks 25526000 to 25526999
📦 Processing blocks 25527000 to 25527999
📦 Processing blocks 25528000 to 25528999
📦 Processing blocks 25529000 to 25529999
📦 Processing blocks 25530000 to 25530999
📦 Processing blocks 25531000 to 25531999
📦 Processing blocks 25532000 to 25532999
📦 Processing blocks 25533000 to 25533999
📦 Processing blocks 25534000 to 25534999
📦 Processing blocks 25535000 to 25535999
📦 Processing blocks 25536000 to 25536999
📦 Processing blocks 25537000 to 25537999
📦 Processing blocks 25538000 to 25538999
📦 Processing blocks 25539000 to 25539999
📦 Processing blocks 25540000 to 25540999
📦 Processing blocks 25541000 to 25541999
📦 Processing blocks 25542000 to 25542999
📦 Processing blocks 25543000 to 25543999
📦 Processing blocks 25544000 to 25544999
📦 Processing blocks 25545000 to 25545999
📦 Processing blocks 25546000 to 25546999
📦 Processing blocks 25547000 to 25547999
📦 Processing blocks 25548000 to 25548999
📦 Processing blocks 25549000 to 25549999
📦 Processing blocks 25550000 to 25550999
📦 Processing blocks 25551000 to 25551999
📦 Processing blocks 25552000 to 25552999
📦 Processing blocks 25553000 to 25553999
📦 Processing blocks 25554000 to 25554999
📦 Processing blocks 25555000 to 25555999
📦 Processing blocks 25556000 to 25556999
📦 Processing blocks 25557000 to 25557999
📦 Processing blocks 25558000 to 25558999
📦 Processing blocks 25559000 to 25559999
📦 Processing blocks 25560000 to 25560999
📦 Processing blocks 25561000 to 25561999
📦 Processing blocks 25562000 to 25562999
📦 Processing blocks 25563000 to 25563999
📦 Processing blocks 25564000 to 25564999
📦 Processing blocks 25565000 to 25565999
📦 Processing blocks 25566000 to 25566999
📦 Processing blocks 25567000 to 25567999
📦 Processing blocks 25568000 to 25568999
📦 Processing blocks 25569000 to 25569999
📦 Processing blocks 25570000 to 25570999
📦 Processing blocks 25571000 to 25571999
📦 Processing blocks 25572000 to 25572999
📦 Processing blocks 25573000 to 25573999
📦 Processing blocks 25574000 to 25574999
📦 Processing blocks 25575000 to 25575999
📦 Processing blocks 25576000 to 25576999
📦 Processing blocks 25577000 to 25577999
📦 Processing blocks 25578000 to 25578999
📦 Processing blocks 25579000 to 25579999
📦 Processing blocks 25580000 to 25580999
📦 Processing blocks 25581000 to 25581999
📦 Processing blocks 25582000 to 25582999
📦 Processing blocks 25583000 to 25583999
📦 Processing blocks 25584000 to 25584999
📦 Processing blocks 25585000 to 25585999
📦 Processing blocks 25586000 to 25586999
📦 Processing blocks 25587000 to 25587999
📦 Processing blocks 25588000 to 25588999
📦 Processing blocks 25589000 to 25589999
📦 Processing blocks 25590000 to 25590999
📦 Processing blocks 25591000 to 25591999
📦 Processing blocks 25592000 to 25592999
📦 Processing blocks 25593000 to 25593999
📦 Processing blocks 25594000 to 25594999
📦 Processing blocks 25595000 to 25595999
📦 Processing blocks 25596000 to 25596999
📦 Processing blocks 25597000 to 25597999
📦 Processing blocks 25598000 to 25598999
📦 Processing blocks 25599000 to 25599999
📦 Processing blocks 25600000 to 25600999
📦 Processing blocks 25601000 to 25601999
📦 Processing blocks 25602000 to 25602999
📦 Processing blocks 25603000 to 25603999
📦 Processing blocks 25604000 to 25604999
📦 Processing blocks 25605000 to 25605999
📦 Processing blocks 25606000 to 25606999
📦 Processing blocks 25607000 to 25607999
📦 Processing blocks 25608000 to 25608999
📦 Processing blocks 25609000 to 25609999
📦 Processing blocks 25610000 to 25610999
📦 Processing blocks 25611000 to 25611999
📦 Processing blocks 25612000 to 25612999
📦 Processing blocks 25613000 to 25613999
📦 Processing blocks 25614000 to 25614479
📦 Processing blocks 25614480 to 25614481
📦 Processing blocks 25614482 to 25614483
📦 Processing blocks 25614484 to 25614484
📦 Processing blocks 25614485 to 25614486
📦 Processing blocks 25614487 to 25614487
📦 Processing blocks 25614488 to 25614488
📦 Processing blocks 25614489 to 25614490
📦 Processing blocks 25614491 to 25614491
📦 Processing blocks 25614492 to 25614492
📦 Processing blocks 25614493 to 25614493
📦 Processing blocks 25614494 to 25614494
📦 Processing blocks 25614495 to 25614496
📦 Processing blocks 25614497 to 25614497
📦 Processing blocks 25614498 to 25614498
📦 Processing blocks 25614499 to 25614500
📦 Processing blocks 25614501 to 25614501
📦 Processing blocks 25614502 to 25614502
📦 Processing blocks 25614503 to 25614503
📦 Processing blocks 25614504 to 25614504
📦 Processing blocks 25614505 to 25614506
📦 Processing blocks 25614507 to 25614507
📦 Processing blocks 25614508 to 25614508
📦 Processing blocks 25614509 to 25614510
📦 Processing blocks 25614511 to 25614511
📦 Processing blocks 25614512 to 25614512
📦 Processing blocks 25614513 to 25614513
Terminated
